City, Time, Disruptions
Niagara,2012-11-08T17:00:00.000Z,1
Niagara,2012-11-09T06:00:00.000Z,1
Niagara,2012-11-10T23:00:00.000Z,1
Niagara,2012-11-11T00:00:00.000Z,1
Niagara,2012-11-11T01:00:00.000Z,1
Niagara,2012-11-13T09:00:00.000Z,1
Niagara,2012-11-14T03:00:00.000Z,1
Niagara,2012-11-15T06:00:00.000Z,1
Niagara,2012-11-21T10:00:00.000Z,1
Niagara,2012-11-23T10:00:00.000Z,1
Niagara,2012-11-23T11:00:00.000Z,1
Niagara,2012-12-01T10:00:00.000Z,1
Niagara,2012-12-02T15:00:00.000Z,1
Niagara,2012-12-04T15:00:00.000Z,1
Niagara,2012-12-04T16:00:00.000Z,1
Niagara,2012-12-12T10:00:00.000Z,1
Niagara,2012-12-12T11:00:00.000Z,1
Niagara,2012-12-12T12:00:00.000Z,1
Niagara,2012-12-12T13:00:00.000Z,1
Niagara,2012-12-12T14:00:00.000Z,1
Niagara,2012-12-12T15:00:00.000Z,1
Niagara,2012-12-16T16:00:00.000Z,1
Niagara,2012-12-16T17:00:00.000Z,1
Niagara,2012-12-19T01:00:00.000Z,1
Niagara,2012-12-20T07:00:00.000Z,1
Niagara,2012-12-21T09:00:00.000Z,1
Niagara,2012-12-21T13:00:00.000Z,1
Niagara,2012-12-24T09:00:00.000Z,1
Niagara,2012-12-29T13:00:00.000Z,1
Niagara,2012-12-29T14:00:00.000Z,1
Niagara,2012-12-30T00:00:00.000Z,1
Niagara,2013-01-07T17:00:00.000Z,1
Niagara,2013-01-08T17:00:00.000Z,1
Niagara,2013-01-10T14:00:00.000Z,1
Niagara,2013-01-10T18:00:00.000Z,1
Niagara,2013-01-18T09:00:00.000Z,1
Niagara,2013-01-18T16:00:00.000Z,1
Niagara,2013-01-20T20:00:00.000Z,1
Niagara,2013-01-22T18:00:00.000Z,1
Niagara,2013-01-23T16:00:00.000Z,1
Niagara,2013-01-25T11:00:00.000Z,1
Niagara,2013-02-02T10:00:00.000Z,2
Niagara,2013-02-02T12:00:00.000Z,1
Niagara,2013-02-03T02:00:00.000Z,2
Niagara,2013-02-03T03:00:00.000Z,2
Niagara,2013-02-03T04:00:00.000Z,2
Niagara,2013-02-03T05:00:00.000Z,2
Niagara,2013-02-03T06:00:00.000Z,2
Niagara,2013-02-03T07:00:00.000Z,1
Niagara,2013-02-04T21:00:00.000Z,1
Niagara,2013-02-04T22:00:00.000Z,1
Niagara,2013-02-08T02:00:00.000Z,1
Niagara,2013-02-08T03:00:00.000Z,1
Niagara,2013-02-08T12:00:00.000Z,1
Niagara,2013-02-08T13:00:00.000Z,1
Niagara,2013-02-08T15:00:00.000Z,1
Niagara,2013-02-08T17:00:00.000Z,1
Niagara,2013-02-12T17:00:00.000Z,1
Niagara,2013-02-14T03:00:00.000Z,1
Niagara,2013-02-18T11:00:00.000Z,1
Niagara,2013-02-19T18:00:00.000Z,1
Niagara,2013-02-20T17:00:00.000Z,1
Niagara,2013-02-22T11:00:00.000Z,2
Niagara,2013-02-22T12:00:00.000Z,3
Niagara,2013-02-23T00:00:00.000Z,2
Niagara,2013-02-24T13:00:00.000Z,1
Niagara,2013-02-25T14:00:00.000Z,1
Niagara,2013-02-26T07:00:00.000Z,1
Niagara,2013-02-27T21:00:00.000Z,1
Niagara,2013-03-04T13:00:00.000Z,1
Niagara,2013-03-05T16:00:00.000Z,1
Niagara,2013-03-13T18:00:00.000Z,1
Niagara,2013-03-23T18:00:00.000Z,1
Niagara,2013-03-26T23:00:00.000Z,1
Niagara,2013-04-01T22:00:00.000Z,1
Niagara,2013-04-04T16:00:00.000Z,1
Niagara,2013-04-04T17:00:00.000Z,1
Niagara,2013-04-04T18:00:00.000Z,1
Niagara,2013-04-09T16:00:00.000Z,3
Niagara,2013-04-10T23:00:00.000Z,1
Niagara,2013-04-11T00:00:00.000Z,1
Niagara,2013-04-11T01:00:00.000Z,1
Niagara,2013-04-11T02:00:00.000Z,1
Niagara,2013-04-11T03:00:00.000Z,1
Niagara,2013-04-11T04:00:00.000Z,1
Niagara,2013-04-11T05:00:00.000Z,1
Niagara,2013-04-11T19:00:00.000Z,1
Niagara,2013-04-11T23:00:00.000Z,1
Niagara,2013-04-14T22:00:00.000Z,1
Niagara,2013-04-14T23:00:00.000Z,1
Niagara,2013-04-15T00:00:00.000Z,1
Niagara,2013-04-15T01:00:00.000Z,1
Niagara,2013-04-15T02:00:00.000Z,1
Niagara,2013-04-15T03:00:00.000Z,1
Niagara,2013-04-16T15:00:00.000Z,1
Niagara,2013-04-17T20:00:00.000Z,1
Niagara,2013-04-17T21:00:00.000Z,1
Niagara,2013-04-18T13:00:00.000Z,1
Niagara,2013-04-18T14:00:00.000Z,1
Niagara,2013-04-23T12:00:00.000Z,1
Niagara,2013-04-23T13:00:00.000Z,1
Niagara,2013-04-28T16:00:00.000Z,2
Niagara,2013-04-30T15:00:00.000Z,1
Niagara,2013-05-05T07:00:00.000Z,1
Niagara,2013-05-09T04:00:00.000Z,1
Niagara,2013-05-09T05:00:00.000Z,2
Niagara,2013-05-09T06:00:00.000Z,3
Niagara,2013-05-09T07:00:00.000Z,3
Niagara,2013-05-09T08:00:00.000Z,3
Niagara,2013-05-09T09:00:00.000Z,3
Niagara,2013-05-09T10:00:00.000Z,3
Niagara,2013-05-09T11:00:00.000Z,3
Niagara,2013-05-09T12:00:00.000Z,3
Niagara,2013-05-09T13:00:00.000Z,3
Niagara,2013-05-09T14:00:00.000Z,3
Niagara,2013-05-09T15:00:00.000Z,2
Niagara,2013-05-09T16:00:00.000Z,2
Niagara,2013-05-09T17:00:00.000Z,2
Niagara,2013-05-09T18:00:00.000Z,2
Niagara,2013-05-09T19:00:00.000Z,2
Niagara,2013-05-09T20:00:00.000Z,2
Niagara,2013-05-09T21:00:00.000Z,2
Niagara,2013-05-09T22:00:00.000Z,2
Niagara,2013-05-09T23:00:00.000Z,2
Niagara,2013-05-10T00:00:00.000Z,2
Niagara,2013-05-10T01:00:00.000Z,2
Niagara,2013-05-10T02:00:00.000Z,2
Niagara,2013-05-10T03:00:00.000Z,2
Niagara,2013-05-10T04:00:00.000Z,1
Niagara,2013-05-13T10:00:00.000Z,1
Niagara,2013-05-20T01:00:00.000Z,1
Niagara,2013-05-29T06:00:00.000Z,1
Niagara,2013-06-02T07:00:00.000Z,1
Niagara,2013-06-11T14:00:00.000Z,1
Niagara,2013-06-12T16:00:00.000Z,1
Niagara,2013-06-12T17:00:00.000Z,2
Niagara,2013-06-12T18:00:00.000Z,3
Niagara,2013-06-12T19:00:00.000Z,3
Niagara,2013-06-12T20:00:00.000Z,3
